Elo Rank	Player	Age	Elo		hElo Rank	hElo	cElo Rank	cElo	gElo Rank	gElo		Peak Elo	Peak Month		WTA Rank	Log diff
162	Lucrezia Stefanini	27.5	1618.6		157	1584.2	178	1533.7	125	1539.7		1650.2	2024-12		136	0.17
163	Hanyu Guo	27.4	1617.4		143	1595.3	212	1484.1	177	1483.7		1642.8	2025-10		171	-0.05
164	Hanne Vandewinkel	21.4	1615.4		133	1617.4	157	1557.9	190	1471.6		1678.1	2025-10		125	0.27
165	Sinja Kraus	23.5	1614.5		205	1517.2	116	1615.6	158	1500.6		1711.3	2025-03		108	0.42
166	Darja Vidmanova	22.8	1612.2		151	1589.5	227	1462.0	201	1460.9		1692.3	2025-09		145	0.14
167	Lucie Havlickova	20.7	1612.0		147	1593.3	192	1509.4	150	1509.7		1654.9	2023-05		280	-0.52
168	Maria Timofeeva	21.9	1609.6		161	1580.5	161	1553.8	282	1402.1		1654.9	2025-10		138	0.20
169	Varvara Lepchenko	39.5	1609.2		159	1582.4	150	1565.0	182	1480.1		1891.7	2015-01		143	0.17
170	Nina Stojanovic	29.2	1609.0		171	1557.5	135	1586.7	118	1553.6		1752.9	2019-10		295	-0.55
171	Tatiana Prozorova	22.0	1603.7		156	1585.8	164	1549.8	184	1476.9		1730.1	2025-02		183	-0.07
172	Victoria Jimenez Kasintseva	20.3	1603.4		180	1544.8	143	1577.8	183	1478.3		1709.5	2025-09		114	0.41
173	Himeno Sakatsume	24.2	1603.1		152	1588.2	250	1435.0	180	1481.9		1603.1	2025-11		151	0.14
174	Eva Guerrero Alvarez	26.2	1602.4		144	1595.2	222	1467.7	207	1454.1		1602.4	2025-11		248	-0.35
175	Lucia Bronzetti	26.9	1602.0		169	1564.6	156	1558.8	185	1475.4		1777.9	2025-03		105	0.51
176	Arantxa Rus	34.9	1601.1		166	1565.8	133	1590.9	205	1454.7		1774.5	2012-07		132	0.29
177	Daria Snigur	23.6	1600.9		165	1571.9	234	1456.8	135	1531.8		1708.0	2024-07		149	0.17
178	Xinyu Gao	28.0	1598.2		178	1545.4	158	1557.0	247	1428.4		1610.4	2025-09		207	-0.15
179	Tiantsoa Sarah Rakotomanga Rajaonah	19.9	1597.7		173	1551.8	171	1543.4	187	1473.8		1643.9	2025-09		117	0.43
180	Heather Watson	33.2	1595.8		170	1564.0	236	1453.1	131	1534.5		1912.2	2014-06		265	-0.39
181	Tamara Zidansek	27.7	1595.7		207	1514.4	132	1592.1	213	1451.1		1857.1	2019-06		156	0.15
182	Joanna Garland	24.2	1594.6		175	1548.5	179	1530.3	163	1495.9		1609.3	2025-10		129	0.34
183	Harriet Dart	29.3	1591.3		164	1572.3	256	1429.8	127	1537.4		1727.2	2022-06		168	0.09
184	Polina Kudermetova	22.4	1590.2		172	1552.5	167	1547.4	178	1483.1		1770.3	2024-12		167	0.10
185	Nuria Brancaccio	25.3	1587.3		305	1397.4	134	1589.1	254	1420.1		1642.1	2025-10		161	0.14
186	Mananchaya Sawangkaew	23.3	1586.3		167	1565.2	204	1496.0	156	1503.8		1775.4	2025-02		247	-0.28
187	Polona Hercog	34.8	1585.1		201	1521.8	141	1578.9	140	1520.5		1894.8	2011-07		333	-0.58
188	Yuliia Starodubtseva	25.7	1583.6		186	1535.2	138	1584.0	155	1505.6		1834.9	2024-10		111	0.53
189	Jana Fett	29.0	1579.7		198	1522.8	159	1556.2	162	1496.4		1755.5	2017-10		186	0.02
190	Maddison Inglis	27.8	1576.6		176	1546.8	238	1449.4	192	1469.8		1636.2	2025-08		166	0.14
191	Lauren Davis	31.8	1571.6		168	1564.8	191	1511.0	149	1509.8		1924.3	2017-03		360	-0.63
192	Carol Young Suh Lee	23.8	1568.9		177	1546.5	176	1534.5	132	1534.5		1709.1	2025-06		208	-0.08
193	Olivia Gadecki	23.6	1568.2		181	1544.7	208	1489.4	191	1470.6		1767.5	2024-10		204	-0.06
194	Renata Jamrichova	18.2	1566.4		208	1514.3	182	1522.0	267	1411.2		1582.5	2025-09		272	-0.34
195	Iryna Shymanovich	28.3	1565.9		216	1502.8	166	1548.7	259	1417.0		1649.2	2023-08		150	0.26
196	Ena Shibahara	27.7	1565.7		182	1541.8	187	1514.2	189	1471.7		1713.2	2024-11		190	0.03
197	Carole Monnet	23.9	1563.2		234	1484.3	170	1544.4	280	1402.9		1581.6	2025-11		172	0.14
198	Nao Hibino	30.9	1563.0		183	1538.8	197	1504.9	215	1450.0		1751.2	2015-09		200	-0.01
199	Susan Bandecchi	27.4	1562.0		202	1521.8	221	1469.7	202	1460.3		1581.4	2025-11		249	-0.22
200	Nuria Parrizas Diaz	34.1	1560.1		187	1532.9	169	1544.5	237	1432.8		1765.0	2022-02		250	-0.22
201	Katarzyna Kawa	33.0	1560.1		257	1456.9	147	1572.1	166	1492.8		1650.2	2025-07		134	0.41
202	Elena Pridankina	20.2	1559.7		200	1522.3	160	1554.0	256	1418.9		1658.2	2025-04		187	0.08
203	Aleksandra Krunic	32.4	1559.6		214	1506.2	151	1562.7	141	1520.5		1838.0	2018-01		467	-0.83
204	Clervie Ngounoue	19.2	1557.4		191	1526.8	239	1448.2	250	1427.0		1690.6	2025-08		192	0.06
205	Fiona Ferro	28.7	1557.2		184	1538.4	186	1515.2	243	1430.4		1864.6	2021-03		364	-0.57
206	Alina Charaeva	23.5	1554.1		246	1475.6	154	1560.4	203	1459.5		1637.2	2025-10		160	0.25
207	Elizara Yaneva	18.6	1553.2		243	1477.1	231	1459.1	212	1451.6		1615.6	2025-11		362	-0.56
208	Mona Barthel	35.4	1551.6		193	1525.7	184	1519.8	276	1405.2		2000.1	2012-05		233	-0.11
209	Katrina Scott	21.3	1550.7		224	1494.3	200	1503.5	289	1397.6		1696.9	2022-08		319	-0.42
210	Teodora Kostovic	18.4	1549.5		279	1424.9	129	1599.4	217	1449.8		1685.9	2025-10		175	0.18
211	Cadence Brace	20.6	1544.6		199	1522.5	379	1313.6	218	1447.3		1589.0	2025-10		184	0.14
212	Julieta Pareja	16.6	1543.3		240	1479.4	193	1508.9	219	1446.6		1619.7	2025-03		345	-0.49
213	Alisa Oktiabreva	17.1	1542.8		339	1369.5	155	1560.3	220	1446.4		1584.1	2025-08		298	-0.34
214	Guiomar Maristany Zuleta De Reales	26.7	1542.7		273	1433.6	168	1545.4	272	1407.7		1589.2	2025-05		181	0.17
215	Sachia Vickery	30.4	1542.4		217	1502.4	180	1524.2	224	1442.1		1736.9	2018-04		560	-0.96
216	Elizabeth Mandlik	24.5	1539.9		189	1530.5	223	1467.5	148	1511.0		1697.6	2023-07		179	0.19
217	Julia Riera	23.4	1539.7		241	1478.5	190	1511.3	232	1436.6		1731.2	2024-05		178	0.20
218	Francisca Jorge	25.6	1539.5		195	1523.3	243	1442.4	186	1474.8		1569.7	2025-11		211	0.03
219	Celine Naef	20.4	1536.8		206	1515.0	264	1426.3	139	1525.6		1713.2	2023-09		302	-0.32
220	Zarina Diyas	32.0	1536.5		194	1525.4	214	1482.4	181	1480.3		1856.6	2015-02		281	-0.24
221	Eva Bennemann	18.1	1535.5		190	1529.4	304	1376.2	222	1442.8		1535.5	2025-11		382	-0.55
222	Alice Rame	28.0	1535.4		385	1321.4	181	1523.3	223	1442.7		1596.5	2025-10		191	0.15
223	Sofia Costoulas	20.6	1534.7		215	1503.8	210	1487.4	266	1411.8		1625.2	2025-05		159	0.34
224	Andrea Lazaro Garcia	31.0	1534.2		292	1410.5	174	1538.4	255	1419.4		1564.0	2025-06		180	0.22
225	Alevtina Ibragimova	20.8	1533.9		228	1491.2	225	1462.8	225	1442.0		1551.8	2025-12		307	-0.31
226	Jule Niemeier	26.1	1531.4		196	1523.0	202	1498.7	175	1485.7		1867.6	2022-06		244	-0.08
227	Erika Andreeva	21.4	1530.9		188	1532.3	233	1456.9	240	1432.6		1795.0	2024-03		264	-0.15
228	Tara Wurth	23.1	1529.6		287	1414.2	203	1498.4	228	1439.8		1681.6	2022-07		232	-0.02
229	Mariam Bolkvadze	27.5	1529.1		210	1509.9	366	1324.9	206	1454.5		1622.4	2021-09		293	-0.25
230	Tereza Martincova	31.1	1527.5		203	1520.0	260	1428.2	142	1519.7		1811.8	2022-03		464	-0.70
231	Astra Sharma	30.1	1526.9		233	1485.8	199	1503.7	211	1451.7		1708.0	2019-04		155	0.40
232	Jessika Ponchet	29.1	1526.6		231	1487.4	195	1507.5	204	1457.0		1622.0	2024-06		164	0.35
233	Fangran Tian	22.2	1526.3		212	1508.3	303	1378.2	231	1438.2		1541.9	2025-11		334	-0.36
234	Louisa Chirico	29.4	1525.2		255	1458.2	172	1540.7	285	1401.4		1812.7	2016-10		173	0.30
235	Kayla Day	26.0	1524.3		211	1508.4	205	1494.9	327	1373.5		1756.9	2016-10		256	-0.09
236	Aliona Falei	21.6	1520.2		220	1499.0	251	1434.2	235	1435.8		1644.3	2024-04		344	-0.38
237	Maria Lourdes Carle	25.7	1519.7		230	1490.9	201	1499.8	311	1384.1		1768.7	2024-05		148	0.47
238	Mary Stoiana	22.4	1519.3		218	1501.5	320	1366.3	236	1434.6		1658.4	2024-10		223	0.07
